"","BookVal","MinorBlem","MajorBlem","PowerSeller","IDSeller","Sealed","NegFeedback","ReservePriceFrac","NBidders","FinalPrice"
"872",99.5,0,0,1,0,0,0,0.149748743718593,6,79.96
"873",29.5,0,0,1,0,0,0,1.35389830508475,0,NA
"874",35.5,1,0,1,0,0,0,0.27887323943662,9,34.95
"875",17.5,1,0,0,0,0,0,0.193142857142857,3,16.88
"876",27.5,0,0,1,0,0,0,0.541818181818182,6,25.45
"877",16.5,0,0,1,0,0,0,0.813939393939394,3,14.99
"878",16.5,0,0,1,0,0,0,0.803636363636364,3,14.82
"879",22.5,0,0,0,0,0,0,1.11066666666667,0,NA
"880",16.5,0,0,1,0,1,0,0.878181818181818,3,26
"881",27.5,0,0,0,0,0,0,1.07090909090909,1,29.45
"882",24.5,0,0,0,0,0,0,0.194285714285714,5,25.25
"883",24.5,0,0,0,0,0,1,0.313877551020408,7,20.5
"884",18.5,0,0,1,0,0,0,1.33640922597991,0,NA
"885",29.95,1,0,0,0,0,0,0.198330550918197,5,23.22
"886",24.5,0,0,0,0,0,1,0.684635537984828,1,16.7735706806283
"887",22.5,0,0,1,0,0,0,1.32311111111111,0,NA
"888",175,0,0,0,0,0,0,0.0399428571428571,5,168.49
"889",24.5,0,0,0,0,0,1,0.313877551020408,6,16.21
"890",35.5,0,0,0,0,0,0,0.838692131848684,1,29.7735706806283
"891",39.5,0,0,0,0,0,1,0.194683544303797,3,45.7
"892",24.5,0,0,1,1,0,0,1.17959183673469,0,NA
"893",19.95,0,0,1,0,0,0,0.300250626566416,5,10.51
"894",16.5,0,0,1,0,0,0,0.363030303030303,8,12.56
"895",8.5,1,0,1,0,0,0,0.704705882352941,3,8.75
"896",16.5,1,0,0,0,0,0,0.299393939393939,7,15.21
"897",99.5,0,0,0,0,0,0,0.361809045226131,9,76.85
"898",49.5,0,0,1,1,0,0,1.11919191919192,0,NA
"899",39.5,0,0,1,0,0,0,0.126329113924051,8,33.25
"900",27.5,0,0,0,0,0,0,0.943636363636364,1,25.95
"901",9.5,0,0,1,0,0,0,0.414736842105263,6,9.46
"902",69.5,1,0,0,0,0,0,0.0933812949640288,5,55.51
"903",42.5,0,0,0,0,0,0,0.124941176470588,8,32.32
"904",59.5,0,0,1,0,1,0,0.133445378151261,3,92.95
"905",29.5,0,0,1,0,1,0,0.269152542372881,5,38.25
"906",29.5,0,0,1,0,1,0,0.269152542372881,5,34.21
"907",57.5,0,0,1,0,1,0,0.138086956521739,6,51.95
"908",72.5,0,0,0,0,0,0,0.0550344827586207,9,59
"909",7.5,0,0,1,0,0,0,1.332,1,9.99
"910",17.5,0,0,1,0,0,0,0.313714285714286,6,13.06
"911",16.5,0,0,1,0,1,0,0.288484848484848,8,24.37
"912",11.5,0,0,1,0,0,0,0.477391304347826,3,11.21
"913",8.5,0,0,1,0,0,0,1.17529411764706,1,9.99000000000001
"914",17.5,0,0,1,0,0,0,0.313714285714286,6,23.4
"915",10.5,0,0,1,0,0,0,0.951428571428571,2,11.5
"916",22.5,0,0,1,0,0,0,0.244,4,19
"917",27.5,0,0,1,0,0,0,0.872,1,23.98
"918",8.95,0,0,1,0,0,0,0.892737430167598,0,NA
"919",7.95,1,0,1,0,0,0,1.00503144654088,0,NA
"920",24.5,0,0,1,0,0,0,0.938367346938775,0,NA
"921",175,0,0,0,0,0,0,0.188514285714286,7,122.5
"922",39.5,0,0,0,0,0,0,0.101012658227848,6,35
"923",9.5,1,0,1,0,0,0,0.841052631578947,3,10.5
"924",8.5,1,0,1,0,0,0,0.94,2,9.07
"925",17.5,0,0,1,0,0,0,0.570857142857143,2,10.49
"926",11.5,0,0,1,0,0,0,0.781739130434783,2,10.01
"927",12.5,1,0,1,0,0,0,0.7192,2,9.49
"928",8.5,0,0,1,0,0,0,0.94,2,9.07
"929",11.5,1,0,1,0,0,0,0.607826086956522,3,13.5
"930",17.5,0,0,0,0,0,0,0.228,5,15.56
"931",9.5,0,0,0,0,0,0,0.42,4,10.05
"932",24.5,0,0,0,0,0,1,0.313877551020408,7,20.6
"933",17.5,1,0,0,0,0,0,0.513142857142857,7,18.99
"934",27.5,0,0,0,0,0,1,0.279636363636364,7,23.19
"935",57.5,0,0,0,0,1,0,0.138086956521739,7,57.44
"936",24.5,0,0,0,0,0,0,0.313877551020408,4,22.2
"937",16.5,0,0,1,0,0,0,0.787272727272727,4,17.5
"938",16.5,0,0,1,0,0,0,0.787272727272727,1,12.99
"939",12.5,0,0,0,0,0,0,0.3992,3,12.27
"940",34.5,0,0,1,0,0,0,0.431884057971014,5,27.95
"941",69.5,0,0,1,0,0,0,0.214388489208633,4,50.95
"942",99.5,0,0,1,1,0,0,0.0396984924623116,6,73.51
"943",18.5,0,0,0,0,0,0,0.804864864864865,2,20.39
"944",32.5,0,0,0,0,0,0,0.181230769230769,7,32
"945",22.5,0,0,0,0,0,0,0.644,4,33
"946",175,1,0,1,1,0,0,0.0225714285714286,7,133
"947",24.5,0,0,1,1,0,0,1.17959183673469,0,NA
"948",39.5,0,0,1,1,0,0,0.1,8,32
"949",34.5,0,0,0,0,0,0,0.448985507246377,5,35.5
"950",16.5,0,0,1,0,1,0,0.288484848484848,5,63.88
"951",43.5,0,0,0,0,0,0,0.356091954022988,4,30.55
"952",39.5,0,0,1,0,0,0,0.872151898734177,0,NA
"953",34.5,1,0,1,0,0,0,0.708695652173913,0,NA
"954",43.5,0,0,0,0,0,0,0.145747126436782,8,30.35
"955",22.5,0,0,1,0,0,0,1.15111111111111,0,NA
"956",24.5,0,0,0,0,0,0,1.01795918367347,0,NA
"957",35.5,0,0,0,0,0,0,1.04056338028169,0,NA
"958",155,0,0,0,0,1,0,0.209677419354839,8,160
"959",29.5,0,0,0,0,1,0,0.76271186440678,4,38.5
"960",29.5,0,0,0,0,1,0,0.76271186440678,3,33.5
"961",24.5,0,0,0,0,0,1,0.826122448979592,1,20.24
"962",16.5,0,0,0,0,0,0,0.349307313977472,6,17.0335706806283
"963",24.5,0,0,0,0,0,1,0.313877551020408,5,17.71
"964",39.5,0,0,1,0,0,0,1.13325495393996,0,NA
"965",14.95,0,0,0,0,0,0,0.333779264214047,6,14.52
"966",7.95,0,0,1,0,0,0,0.942138364779874,3,7.99
"967",17.5,1,0,1,0,0,0,0.825714285714286,1,14.45
"968",35.5,0,0,0,0,0,1,0.216619718309859,6,37.42
"969",43.5,0,0,0,0,0,0,0.206666666666667,5,41.01
"970",34.5,1,0,0,0,0,1,0.222898550724638,8,26.96
"971",12.95,0,0,1,0,0,0,1.11583011583012,2,16
"972",34.5,0,0,0,0,0,0,0.260579710144928,6,35.01
"973",11.5,1,0,1,0,0,0,0.995652173913043,0,NA
"974",59.5,0,0,0,0,0,0,0.15109243697479,7,69
"975",43.5,0,0,0,0,0,1,0.176781609195402,4,36.7
"976",11.5,0,0,0,0,0,0,0.995652173913043,0,NA
"977",59.5,0,0,0,0,0,1,0.129243697478992,8,59.57
"978",12.5,1,0,1,0,0,0,0.916,0,NA
"979",15,1,0,1,0,0,0,0.399333333333333,3,14
"980",32.95,0,0,1,1,0,0,0.946889226100152,2,32.45
"981",34.5,0,0,0,0,0,0,0.431884057971014,6,34.52
"982",15,0,0,1,0,0,0,0.726666666666667,1,10.9
"983",7.5,0,0,1,0,0,0,1.45333333333333,0,NA
"984",175,0,0,1,1,0,0,0.999714285714286,0,NA
"985",39.5,0,0,1,1,0,0,1.01139240506329,0,NA
"986",32.5,0,0,1,1,0,0,1.07538461538462,0,NA
"987",46.5,0,0,1,1,0,0,1.03118279569892,0,NA
"988",97.5,0,0,1,1,0,0,0.922564102564103,0,NA
"989",16.5,0,0,1,1,0,0,1.14848484848485,0,NA
"990",72.5,0,0,1,1,0,0,0.964827586206897,0,NA
"991",39.5,0,0,1,1,0,0,1.03670886075949,0,NA
"992",43.5,0,0,1,1,0,0,1.03333333333333,0,NA
"993",38.5,0,0,1,1,0,0,1.01168831168831,0,NA
"994",34.5,0,0,1,1,0,0,0.984057971014493,0,NA
"995",59.5,0,0,1,0,1,0,0.133445378151261,8,71
"996",29.5,0,0,1,0,1,0,0.269152542372881,6,41.95
"997",57.5,0,0,1,0,1,0,0.138086956521739,9,48.95
"998",29.5,1,0,0,0,0,0,0.426779661016949,5,18.1
"999",22.5,0,0,0,0,0,0,0.559555555555556,3,18.21
"1000",29.5,0,0,1,0,1,0,0.269152542372881,6,33.98
